MAJ,ident,nbplaces,nbvelos,nbelec,nbclassiq,velo_dispo,hour,minute,day
2021-05-14 20:02:11.001919,92.61748633879782,11.404371584699453,10.07103825136612,5.2896174863387975,4.781420765027322,47.85245901639344,20.0,2.0,14.0
2021-05-15 12:32:11.700073,92.61748633879782,11.3551912568306,10.120218579234972,5.311475409836065,4.808743169398907,47.85245901639344,12.0,32.0,15.0
2021-05-19 07:19:11.004672,92.61748633879782,11.366120218579235,10.163934426229508,5.295081967213115,4.868852459016393,47.84699453551912,7.0,19.0,19.0
2021-05-13 15:36:11.701424,92.61748633879782,11.371584699453551,10.180327868852459,5.295081967213115,4.885245901639344,47.84699453551912,15.0,36.0,13.0
2021-05-15 15:32:11.773833,92.61748633879782,11.306010928961749,10.174863387978142,5.316939890710382,4.85792349726776,47.84153005464481,15.0,32.0,15.0
2021-05-18 21:34:03.373818,92.61748633879782,11.448087431693988,10.076502732240437,5.2349726775956285,4.841530054644808,47.84153005464481,21.0,34.0,18.0
2021-05-17 07:17:11.353364,92.61748633879782,11.426229508196721,10.05464480874317,5.245901639344262,4.808743169398907,47.83606557377049,7.0,17.0,17.0
2021-05-19 06:44:11.962338,92.61748633879782,11.3551912568306,10.174863387978142,5.284153005464481,4.890710382513661,47.83606557377049,6.0,44.0,19.0
2021-05-15 09:57:11.264607,92.61748633879782,11.295081967213115,10.174863387978142,5.3224043715847,4.852459016393443,47.830601092896174,9.0,57.0,15.0
2021-05-15 12:37:11.232818,92.61748633879782,11.360655737704919,10.114754098360656,5.300546448087432,4.814207650273224,47.830601092896174,12.0,37.0,15.0
2021-05-18 21:29:02.705129,92.61748633879782,11.448087431693988,10.076502732240437,5.240437158469946,4.836065573770492,47.830601092896174,21.0,29.0,18.0
2021-05-18 07:17:02.672043,92.61748633879782,11.371584699453551,10.07103825136612,5.251366120218579,4.819672131147541,47.82513661202186,7.0,17.0,18.0
2021-05-15 15:07:11.148177,92.61748633879782,11.311475409836065,10.169398907103826,5.316939890710382,4.852459016393443,47.81967213114754,15.0,7.0,15.0
2021-05-14 20:52:10.963753,92.61748633879782,11.371584699453551,10.103825136612022,5.278688524590164,4.825136612021858,47.81967213114754,20.0,52.0,14.0
2021-05-13 14:41:11.081586,92.61748633879782,11.404371584699453,10.147540983606557,5.316939890710382,4.830601092896175,47.81967213114754,14.0,41.0,13.0
2021-05-15 11:42:11.378232,92.61748633879782,11.366120218579235,10.109289617486338,5.333333333333333,4.775956284153006,47.814207650273225,11.0,42.0,15.0
2021-05-16 09:52:11.677795,92.61748633879782,11.404371584699453,10.076502732240437,5.278688524590164,4.797814207650274,47.80874316939891,9.0,52.0,16.0
2021-05-15 15:17:11.250691,92.61748633879782,11.306010928961749,10.174863387978142,5.300546448087432,4.8743169398907105,47.80874316939891,15.0,17.0,15.0
2021-05-16 19:52:11.552633,92.61748633879782,11.469945355191257,10.010928961748634,5.240437158469946,4.770491803278689,47.80327868852459,19.0,52.0,16.0
2021-05-17 07:22:11.585691,92.61748633879782,11.426229508196721,10.05464480874317,5.245901639344262,4.808743169398907,47.80327868852459,7.0,22.0,17.0
2021-05-14 20:57:11.122149,92.61748633879782,11.366120218579235,10.109289617486338,5.26775956284153,4.841530054644808,47.80327868852459,20.0,57.0,14.0
2021-05-15 10:07:11.419231,92.61748633879782,11.295081967213115,10.174863387978142,5.306010928961749,4.868852459016393,47.79234972677595,10.0,7.0,15.0
2021-05-15 19:32:10.912668,92.61748633879782,11.382513661202186,10.098360655737705,5.278688524590164,4.819672131147541,47.79234972677595,19.0,32.0,15.0
2021-05-14 07:56:29.375254,92.61748633879782,11.398907103825136,10.092896174863387,5.311475409836065,4.781420765027322,47.78688524590164,7.0,56.0,14.0
2021-05-15 10:02:11.806494,92.61748633879782,11.295081967213115,10.174863387978142,5.316939890710382,4.85792349726776,47.78688524590164,10.0,2.0,15.0
2021-05-18 21:39:03.151308,92.61748633879782,11.459016393442623,10.065573770491802,5.2349726775956285,4.830601092896175,47.78142076502732,21.0,39.0,18.0
2021-05-15 11:57:11.403072,92.61748633879782,11.382513661202186,10.098360655737705,5.333333333333333,4.7650273224043715,47.78142076502732,11.0,57.0,15.0
2021-05-19 21:44:11.518970,92.61748633879782,11.612021857923498,9.923497267759563,5.1530054644808745,4.770491803278689,47.78142076502732,21.0,44.0,19.0
2021-05-15 16:07:11.851207,92.61748633879782,11.333333333333334,10.147540983606557,5.316939890710382,4.830601092896175,47.77049180327869,16.0,7.0,15.0
2021-05-15 15:22:11.730839,92.61748633879782,11.306010928961749,10.169398907103826,5.300546448087432,4.868852459016393,47.77049180327869,15.0,22.0,15.0
2021-05-16 19:22:11.397328,92.61748633879782,11.437158469945356,10.043715846994536,5.26775956284153,4.775956284153006,47.77049180327869,19.0,22.0,16.0
2021-05-15 14:52:11.569336,92.61748633879782,11.300546448087431,10.180327868852459,5.316939890710382,4.863387978142076,47.77049180327869,14.0,52.0,15.0
2021-05-14 08:31:28.569782,92.61748633879782,11.387978142076502,10.103825136612022,5.295081967213115,4.808743169398907,47.76502732240437,8.0,31.0,14.0
2021-05-18 21:24:02.800681,92.61748633879782,11.459016393442623,10.065573770491802,5.240437158469946,4.825136612021858,47.759562841530055,21.0,24.0,18.0
2021-05-15 13:17:11.342458,92.61748633879782,11.371584699453551,10.103825136612022,5.2896174863387975,4.814207650273224,47.743169398907106,13.0,17.0,15.0
2021-05-15 11:52:12.045499,92.61748633879782,11.382513661202186,10.092896174863387,5.333333333333333,4.759562841530054,47.73770491803279,11.0,52.0,15.0
2021-05-15 16:17:11.855922,92.61748633879782,11.344262295081966,10.136612021857923,5.2896174863387975,4.8469945355191255,47.73770491803279,16.0,17.0,15.0
2021-05-15 13:22:11.067657,92.61748633879782,11.37704918032787,10.098360655737705,5.278688524590164,4.819672131147541,47.73770491803279,13.0,22.0,15.0
2021-05-15 15:27:11.200417,92.61748633879782,11.311475409836065,10.163934426229508,5.295081967213115,4.868852459016393,47.72677595628415,15.0,27.0,15.0
2021-05-16 19:17:11.393431,92.61748633879782,11.448087431693988,10.027322404371585,5.262295081967213,4.7650273224043715,47.72677595628415,19.0,17.0,16.0
